titulo;preco_old;preco_new;link
365 Caça-Palavras - Países capitais e cidades;R$ 44,92;https://leitura.com.br/100-bencaos-para-dias-imperfeitos--devocional-para-todos-os-momentos-da-vida-L999-9786559574285?page=1&limit=96;
365 cruzadas diretas - fácil médio e difícil I;R$ 33,12;https://leitura.com.br/100-cientistas-que-mudaram-o-mundo-L999-9788537004456?page=1&limit=96;
100 coisas para fazer a dois;R$ 28,97;https://leitura.com.br/100-coisas-para-fazer-a-dois-L999-9788576834915?page=2&limit=96;
100 Coisas que eu Amo em Você;R$ 33,12;https://leitura.com.br/100-coisas-que-eu-amo-em-voce-L999-9786586070446?page=2&limit=96;
100 coisas que líderes de sucesso fazem;R$ 52,21;https://leitura.com.br/100-coisas-que-lideres-de-sucesso-fazem-L999-9786555662573?page=2&limit=96;
100 coisas que milionários fazem;R$ 52,21;https://leitura.com.br/100-coisas-que-milionarios-fazem-L999-9786555661040?page=2&limit=96;
100 coisas que pessoas de sucesso fazem;R$ 52,21;https://leitura.com.br/100-coisas-que-pessoas-de-sucesso-fazem-L999-9786555661323?page=2&limit=96;
100 coisas que pessoas produtivas fazem;R$ 49,72;https://leitura.com.br/100-coisas-que-pessoas-produtivas-fazem-L999-9786555663327?page=2&limit=96;
100 crônicas escolhidas;R$ 54,08;https://leitura.com.br/100-cronicas-escolhidas-L999-9788503013901?page=2&limit=96;
100 crônicas escolhidas;R$ 53,95;https://leitura.com.br/100-cronicas-escolhidas-L999-9786556123448?page=2&limit=96;
100 filmes: da literatura para o cinema;R$ 108,25;https://leitura.com.br/100-filmes-da-literatura-para-o-cinema-L999-9788576846697?page=2&limit=96;
100 formas de dizer eu te amo;R$ 28,97;https://leitura.com.br/100-formas-de-dizer-eu-te-amo-L999-9788550700847?page=2&limit=96;
100 grandes líderes;R$ 41,42;https://leitura.com.br/100-grandes-lideres-L999-9788537006238?page=2&limit=96;
100 graus - o ponto de ebulição do sucesso;R$ 45,57;https://leitura.com.br/100-graus---o-ponto-de-ebulicao-do-sucesso-L999-9788545200901?page=2&limit=96;
100 ideias para ensinar filosofia e ética;R$ 37,35;https://leitura.com.br/100-ideias-para-ensinar-filosofia-e-etica-L999-9788532652744?page=2&limit=96;
100 indicadores da gestão;R$ 59,27;https://leitura.com.br/100-indicadores-da-gestao-L999-9789896940331?page=2&limit=96;
100 Jogos para grupos;R$ 60,01;https://leitura.com.br/100-jogos-para-grupos-L999-9788571835108?page=2&limit=96;
100 maneiras de simplificar sua vida;R$ 29,85;https://leitura.com.br/100-maneiras-de-simplificar-sua-vida-L999-9788561721619?page=2&limit=96;
100 minutos para entender a neurociência;R$ 24,82;https://leitura.com.br/100-minutos-para-entender-a-neurociencia-L999-9786555665192?page=2&limit=96;
100 minutos para entender a Psicanálise;R$ 24,82;https://leitura.com.br/100-minutos-para-entender-a-psicanalise-L999-9786555665086?page=2&limit=96;
100 minutos para entender a Psicologia;R$ 24,82;https://leitura.com.br/100-minutos-para-entender-a-psicologia-L999-9786555665147?page=2&limit=96;
100 passos até uma pegada;R$ 34,86;https://leitura.com.br/100-passos-ate-uma-pegada-L999-9788584190973?page=2&limit=96;
100 pedaços de mim;R$ 49,72;https://leitura.com.br/100-pedacos-de-mim-L999-9786555651836?page=2&limit=96;
100 perguntas sobre o Ho''''oponopono;R$ 53,91;https://leitura.com.br/100-perguntas-sobre-o-hooponopono-L999-9788542226263?page=2&limit=96;
100 receitas com lata;R$ 22,33;https://leitura.com.br/100-receitas-com-lata-L999-9788525418128?page=2&limit=96;
100 receitas de carnes;R$ 23,16;https://leitura.com.br/100-receitas-de-carnes-L999-9788525413918?page=2&limit=96;
100 receitas de sobremesas;R$ 27,31;https://leitura.com.br/100-receitas-de-sobremesas-L999-9788525410313?page=2&limit=96;
100 receitas para festinhas;R$ 51,46;https://leitura.com.br/100-receitas-para-festinhas-L999-9788578813161?page=2&limit=96;
1000 Atividades;R$ 19,95;https://leitura.com.br/1000-atividades-L999-9788537636664?page=2&limit=96;
1001 dicas de português;R$ 54,55;https://leitura.com.br/1001-dicas-de-portugues-L999-9788572449083?page=2&limit=96;
1001 Fantasmas (Nova edição);R$ 41,42;https://leitura.com.br/1001-fantasmas-nova-edicao-L999-9788555341960?page=2&limit=96;
1001 palavras em inglês e português;R$ 58,02;https://leitura.com.br/1001-palavras-em-ingles-e-portugues-L999-9786555304572?page=2&limit=96;
1001 perguntas e respostas;R$ 16,52;https://leitura.com.br/1001-perguntas-e-respostas-L999-9786587466200?page=2&limit=96;
1001 perguntas e respostas - Futebol;R$ 16,52;https://leitura.com.br/1001-perguntas-e-respostas---futebol-L999-9786587466187?page=2&limit=96;
1001 problemas de estatística para leigos;R$ 105,83;https://leitura.com.br/1001-problemas-de-estatistica-para-leigos-L999-9788550800110?page=2&limit=96;
1001 problemas de matemática básica e pré-álgebra para leigos;R$ 92,50;https://leitura.com.br/1001-problemas-de-matematica-basica-e-pre-algebra-para-leigos-L999-9788550800011?page=2&limit=96;
1001 Questões Comentadas - EsA;R$ 78,99;https://leitura.com.br/1001-questoes-comentadas---esa-L999-9786559180998?page=2&limit=96;
1001 Questões para Fazer Antes de Passar no ENEM;R$ 78,99;https://leitura.com.br/1001-questoes-para-fazer-antes-de-passar-no-enem-L999-9788584291328?page=2&limit=96;
1002 Fantasmas;R$ 37,27;https://leitura.com.br/1002-fantasmas-L999-9788555341939?page=2&limit=96;
101 alimentos para o seu filho comer antes de crescer;R$ 41,42;https://leitura.com.br/101-alimentos-para-o-seu-filho-comer-antes-de-crescer-L999-9788582469224?page=2&limit=96;
101 atrações de TV que sintonizaram o Brasil;R$ 24,95;https://leitura.com.br/101-atracoes-de-tv-que-sintonizaram-o-brasil-L999-9788556080219?page=2&limit=96;
101 brasileiros que fizeram história;R$ 29,95;https://leitura.com.br/101-brasileiros-que-fizeram-historia-L999-9788556080103?page=2&limit=96;
101 coisas para fazer antes da dieta;R$ 49,92;https://leitura.com.br/101-coisas-para-fazer-antes-da-dieta-L999-9788576844075?page=2&limit=96;
101 coisas para fazer antes de casar engravidar ou envelhecer engravidar ou envelhecer;R$ 54,90;R$ 45,75;https://leitura.com.br/101-coisas-para-fazer-antes-de-casar-engravidar-ou-envelhecer-L999-9788576844587?page=2&limit=96
14 Motivos Para Viver vencer e ser feliz Vencer E Ser Feliz;R$ 41,42;https://leitura.com.br/101-coisas-que-nao-me-contaram-antes-do-casamento-L999-9788576840497?page=2&limit=96;
1789 : A história de Tiradentes contrabandistas assassinos e poetas que sonharam a Independência do Brasil.;R$ 14,03;https://leitura.com.br/101-coisas-que-o-diabo-nao-pode-fazer-L999-9788573744187?page=2&limit=96;
3 Palavrinhas - Ler colorir e brincar;R$ 14,03;https://leitura.com.br/101-conselhos-para-militares-L999-9786553500518?page=2&limit=96;
365 Caça-Palavras - Países capitais e cidades;R$ 10,71;https://leitura.com.br/101-curiosidades---animais-L999-9786555007435?page=2&limit=96;
365 cruzadas diretas - fácil médio e difícil I;R$ 10,71;https://leitura.com.br/101-curiosidades---brasil-L999-9786555007688?page=2&limit=96;
101 curiosidades - Corpo humano;R$ 10,71;https://leitura.com.br/101-curiosidades---corpo-humano-L999-9786555007428?page=2&limit=96;
101 curiosidades - Dinossauros;R$ 10,71;https://leitura.com.br/101-curiosidades---dinossauros-L999-9786555007466?page=2&limit=96;
101 curiosidades - História;R$ 10,71;https://leitura.com.br/101-curiosidades---historia-L999-9786555007459?page=2&limit=96;
101 curiosidades - Internet;R$ 10,71;https://leitura.com.br/101-curiosidades---internet-L999-9786555007732?page=2&limit=96;
101 curiosidades - Música;R$ 10,71;https://leitura.com.br/101-curiosidades---musica-L999-9786555007725?page=2&limit=96;
101 ideias criativas para família;R$ 32,29;https://leitura.com.br/101-ideias-criativas-para-familia-L999-9788588234116?page=2&limit=96;
101 ideias criativas para grupos pequenos;R$ 26,48;https://leitura.com.br/101-ideias-criativas-para-grupos-pequenos-L999-9788589320313?page=2&limit=96;
101 ideias criativas para mulheres;R$ 29,80;https://leitura.com.br/101-ideias-criativas-para-mulheres-L999-9788588234086?page=2&limit=96;
